id,FalseSent,TrueSent,ref1,ref2,ref3,OptionA,OptionB,OptionC,label
10,Eggs eat kis on Easter.,Kids find eggs on Easter.,No egg eat kids.,Eggs don't eat anything at any time,Kids eat eggs on Easter.,Easter has a lot of eggs.,No egg eat kids.,Eggs are made for easter.,1
11,Mark drank a notebook.,Mark drank water.,A notebook is a solid and by definition a person can only drink a liquid.,You can't drink paper.,NOTEBOOK IS A OBJECT IT'S NOT A DRINK SO IT CANNOT DRINK,The notebook was yellow and Mark does not drink anything yellow.,A notebook is a solid and by definition a person can only drink a liquid.,Notebooks cost $.50,1
12,He went to the police station to withdraw cash.,He went to the bank to withdraw cash.,Police station is a place to file criminal complaints.,You can't get cash at a police station.,Cash isn't available at the police station,Police catches thieves while money can buy you things.,Police station is a place to file criminal complaints.,Police station has jails but no money to give.,1
13,An employee can price goods,An owner can price goods,Only owner could price the goods,It is not usual for an employee to be given this level of responsibility,The employee doesn't have authority to price goods,An owner serve foods to employees,Owners always stand and sell goods,Only owner could price the goods,2
14,she wear hat in the hand,she wear bangles in the hand,hat usually wear on the head,A hat is not worn on hands.,Hats are for your head.,hat usually black in colour and bangles are in different colours,hat usually wear on the head,hat will be big in size,1
15,My cousin throws the house to my brother.,My cousin throws the snowball to my brother.,A house is too big to throw.,You cannot throw a house.,A house is too large to throw.,Houses are usually expensive.,A house is too big to throw.,There are several houses on this street.,1
16,Roses buds  eat caterpillars,The caterpillar eats the rose bud,Caterpillars have mouths while rose buds don't,Rose buds are plants and can't eat animals.,Plants don't eat bugs,Rose buds are edible while caterpillars aren't,Rose buds bloom and caterpillars crawl,Caterpillars have mouths while rose buds don't,2
17,Lisa played jazz music for Moses of the Old Testament yesterday.,Lisa played jazz music for the President of the USA yesterday.,Moses has been dead for a long time and could not have heard a concert yesterday.,Moses isn't alive.,Moses is not alive.,Moses was too busy talking to the burning bush,Moses has been dead for a long time and could not have heard a concert yesterday.,Jazz is a fading art form,1
18,the computer broke down and the doctor fixed it,the computer broke down and the technician will fix it,a doctor does not fix computers,Doctors fix people not computers.,"Doctors fix people, not computers",the technician heals people and the doctor heals machines,the technician is a doctor's friend and fixes the computer,a doctor does not fix computers,2
19,I drank bleach.,I drank water.,Bleach is used for cleaning.,"Usually people don't drink bleach, it's certainly not advised to do so",bleach would kill you if you drank it,Bleach is a denser liquid than water.,Bleach is used for cleaning.,Bleach is not stored in the kitchen.,1
20,I usually wear a shoe on my head,I usually wear a shoes in my feet,Shoe can be worn in feet only,Shoes are worn on feet.,shoes are for feet not heads,Cap looks good on the head,Shoe can be worn in feet only,We wear different things on the head,1
21,My brother placed the nuclear reactor inside the box.,My brother placed the car inside the box.,Nuclear reactor is way too big to be placed in a box.,A person cannot pick up a nuclear reactor.,A nuclear reactor is too big to fit in a box.,Nuclear reactor can be contained in a container.,Nuclear reactor is contained in a place.,Nuclear reactor is way too big to be placed in a box.,2
22,She took the chair for a walk,She took the dog for a walk,Chairs can't walk,Chair is not use for walk. It is create uncomfortable situation.,A chair isn't alive.,Chairs can't walk,Chairs can only go for runs,A chair is red,0
23,A dog roared at a cat in the street.,A dog barked at a cat in the street.,Roar is not a dog characteristic.,A dog could bark at a cat in the street,dogs don't roar,Dogs do not usually roar at cats.,Roar is not a dog characteristic.,Dogs do not roar when they are chasing cats.,1
24,He mowed the carpet,He mowed the tall grass,"lawnmowers are for cutting grass, not carpets",He vacuumed the carpet,You don't trim carpets.,grass is usually green while carpets are usually not,"lawnmowers are for cutting grass, not carpets",carpet is too short to mow,1
25,I drive a bike,I drive a car,A bike is ridden not driven,"You ride a bike, not drive it",You ride a bike.,A bike and a car is a very good mode of transport,I either use my bike or use my car to go to the office,A bike is ridden not driven,2
26,I dress an elephant,I dress myself,An elephant is a wild animal,Elephants do not typically wear clothes,Elephants aren't for dressing up.,An elephant is a wild animal,An elephant is grey,An elephant has a proboscis,0
27,I cook football very well,I cook fish very well,A football is thing to play with not a thing to eat,"Footballs are not food, and therefore are not cooked.",You cannot cook a football.,A football is thing to play with not a thing to eat,A football kept on the table looks good,A football and a watermelon is almost equal in size,0
28,Car is a very good mode of water transport,Boat is a very good mode of water transport,Car is a mode of land of transport,Cars are not good modes of transport,Cars do not float in water.,A car and a boat is a good mode of transport,Car is a mode of land of transport,I either use a boat and a car to travel,1
29,a dog is taken to a pool after getting sick,a dog is taken to a veterinarian after getting sick,a pool has no medical attention for animals,A pool doesn't have doctors.,A pool doesn't have medicine to fix the dog.,the dogs get sick and the pools clean,a pool has no medical attention for animals,a dog cannot spread a pool,1
30,She rode her bike to the moon.,She rode her bike to the store.,"The store is a reasonable place to ride one's bike, and we cannot ride our bike to outer space or the moon.",This is impossible.,"THERE IS NOT A RODE WAY TO THE MOON, THE BIKE IS COULD NOT MOVE TO THE MOON.",Her bike is not the same color as the moon.,"The store is a reasonable place to ride one's bike, and we cannot ride our bike to outer space or the moon.",She did not have permission from her parents to ride her bike that far away from home.,1
31,A boy shuts down,A mobile phone shut down,"A boy can fall asleep, but a boy cannot shut down","Humans don't usually shut down, shut down is typically used to describe technology.",A human being cannot shut down,A boy is full of energy,A boy is a male,"A boy can fall asleep, but a boy cannot shut down",2
32,He planted cucumber seeds in the couch.,He planted cucumber seeds in the garden.,Cucumbers need the conditions of a garden to grow instead of a couch.,A couch isn't where you plant seeds.,It isn't appropriate to plant things in a couch.,Cucumber seeds make sitting in a couch uncomfortable.,Digging a hole in the couch to plant seeds can be very messy.,Cucumbers need the conditions of a garden to grow instead of a couch.,2
33,I play games on my Gas stove,I play games on my laptop,Gas stove is equipment to cook food,A gas stove is for cooking.,A gas stove is not a toy.,Gas stove a very important equipment used in the house,Gas stove is frequently used in the house,Gas stove is equipment to cook food,2
34,Stars read me,I read stars,Stars has not eyes,stars cannot read,People read the stars and not the other way around.,Stars has not eyes,Stars are too big,Stars are too far,0
35,A boy turns off the door,A boy turns off the light,A door can be closed but a door cannot be turned off,A door cannot be turned off.,A door is never on so can't be turned off.,A door cannot turn off a light,A door can be closed but a door cannot be turned off,A light cannot close the door,1
36,He read a very long window King Tut.,He read a  book about King Tut.,"Books have pages and words to read, while windows do not and serve a different purpose.",You can't read a window.,He cannot read a window.,"Books have pages and words to read, while windows do not and serve a different purpose.",Glass windows were invented after King Tut was born.,"Windows let in sun, which cats like to lay down in while books create shade that makes the cat move to a more sunny spot.",0
37,He lost his phone in the mouth of a griffin.,He lost his phone at the park.,A griffin is a mythical creature that does not exist.,Griffin's don't exist and so this is not possible,there is no such thing as a griffin,A griffin would find that metal of a phone disgusting and not want to eat it.,A griffin always shares what it eats with it's baby griffins.,A griffin is a mythical creature that does not exist.,2
38,Sara had a glass of petrol,Sara had a glass of water,drinking petrol is dangerous to one's life,Sara cannot drink petrol,people don't usually drink petrol,Sara does not like the taste of petrol,Sara was not thirsty enough to have a whole glass of petrol,drinking petrol is dangerous to one's life,2
39,he kept a chair inside the fridge,he kept a juice bottle into the fridge,chair is bigger than the fridge,A chair would not fit inside a fridge.,A chair is too big to go in a fridge.,fridge store vegetables and fruits,chair is bigger than the fridge,chair used to sit,1
40,I read a tiger,I read a book,A tiger has not letters on herself,"Tiger is not a book or any sentence, It is living thing.",A tiger cannot be read.,A tiger has not letters on herself,A tiger is orange,A tiger is wild,0
41,I use internet on my radio,I use internet in my mobile,Internet can not be used on a radio,You could use the internet to listen to the radio,radio doesn't use internet,We get signal on a radio,Radio is a great mode of communication,Internet can not be used on a radio,2
42,She drove her children to the moon.,She drove her children to the playground.,The moon is not reachable by car.,The moon is in space.,The moon is in outer space.,Children can't breathe on the moon.,The moon has no swing sets.,The moon is not reachable by car.,2
43,She parachuted into the grocery store from a plane.,She drove to the grocery store.,"If you jumped from a plane to get groceries, you would have no way to get them home.",You can't land inside a store,This is a place you should walk or drive to.,"If you jumped from a plane to get groceries, you would have no way to get them home.",It's difficult to park a plane in a grocery store parking lot.,Grocery stores do not carry parachutes.,0
44,The fish swam in the desert.,The fish swam in the ocean.,"A desert has no water, so a fish could not swim there.",A desert is dry and has no water and fish need water to swim,The desert has no water.,Fish do not take vacations to the desert.,"Fish swim in water that is blue or green, while a desert is yellow sand","A desert has no water, so a fish could not swim there.",2
45,There was a dead ice creature walking in the snow.,There was a man walking in the snow.,Dead ice creatures do not exist.,Dead things can't walk.,Dead creatures don't walk.,Dead ice creatures do not walk on ice.,Dead ice creatures do not walk.,Dead ice creatures do not exist.,2
46,I swim under a tap,I swim in a swimming pool,There are not enough water under a tap to swim,"You swim in pools, seas or rivers usually",I swim in a pool.,Tap a good source of water,Tap water is generally used to take bath,There are not enough water under a tap to swim,2
47,A person eats mountains,A person eats tomatoes,A mountain is much bigger than a person,A mountain isn't edible.,Mountains are not food.,A mountain is much bigger than a person,Mountains are usually cold while a person is usually hot,Mountains cannot eat a person,0
48,Jane saw a giraffe in her purse.,Jane saw a giraffe at the zoo.,A purse is too small for a giraffe to be in.,The giraffe wouldn't fit.,GIRAFFE IS BIGGER THEN A PURSE SO IT'S NOT POSSIBLE,A purse is too small for a giraffe to be in.,The giraffe's body pattern clashes with her purple leather purse.,Jane's dad does not allow her to have pets.,0
49,We use book to know the time,We use a clock to know the time,A book is used to study,A book does not have the ability to show what time it is.,Books don't tell the time,A book and a clock is very essential in our daily life,A book is used to study,A book plays a very important role in our life,1
50,I was playing basketball with a rock,I was playing basketball with a ball,"You need a bouncing objet for playing basketball, and a rock does not bounce",Usually people use a ball of some sort to play basketball,A rock will not bounce,"You need a bouncing objet for playing basketball, and a rock does not bounce",Rock are usually opaque and the ball is orange,People really love to watch NBA,0
51,Mary took her moth for a walk,Mary took her dog for a walk,it is unusual to keep a moth as a pet,A moth does not walk.,You can't effectively walk an insect.,moths like flying towards the light,it is unusual to keep a moth as a pet,somebody stepped on the moth and crushed it,1
52,I like to listen colours as I commute,I like to listen podcasts as I commute,Colours cannot being listened,Colours don't have sound.,Colours don't make sound.,Colours are not usually easy to find in dark,You should not run as you commute,Colours cannot being listened,2
53,I run in the air,I run in the ground,Walking is not possible in the air,The air is not solid to run on.,Gravity keeps us on the ground.,We can travel using both air and the ground,Walking is not possible in the air,Birds fly in the air,1
54,There was a blonde woman riding a dragon.,There was a woman riding an elephant in Africa.,Dragons do not exist.,Unfortunately dragons don't exist and so a woman (blonde or otherwise) can't ride them,Dragons aren't real.,Blond women don't ride dragons.,Usually women don't ride dragons.,Dragons do not exist.,2
55,He ate the book,He ate an apple,Book is not a food,Books are not edible,A book is not food.,Book does not taste good,He does not like book,Book is not a food,2
56,Jake ate artificial mango,Jack ate mango,Human can't eat artificial made fruits,Artificial mango isn't real food so it's not edible.,"Artificial foods are not,  by definition, the actual foods they emulate.",Mango are sweet but bitter too,Human can't eat artificial made fruits,Mango cannot eat jack,1
57,Baby is taking dictionary,Baby is taking toys,It is too heavy,A baby doesn't read so wouldn't take a dictionary,Dictionaries are heavy books that a baby cannot lift or take.,Dictionary is colour full,It is too heavy,Dictionary can not  take a baby,1
58,the school was open for summer,the school was open for fall,summertime is typically vacation time for school,Schools are closed in the summer for break.,In most countries schools is out for summer.,summertime is typically vacation time for school,the temperature outside is too hot to learn in the summer,schools wait until the first leaf falls in autumn to open,0
59,The chocolate cried,The chocolate melted,Chocolate is a melting solid therefore cannot cry,chocolate doesn't cry,"Chocolate is an inanimate, non human thing and cannot cry.",Chocolate is a melting solid therefore cannot cry,The chocolate has no eyes to cry,The chocolate was too cold,0
60,There are barbecues in the middle of a television program,There are commercials in the middle of a television program,barbecues are a physical object not like commercials,Barbecues cannot be placed in a tv show.,"barbecues are in gardens or yards, not in the middle of television programs",barbecues can be shown in commercials,barbecues and commercials are sold to us,barbecues are a physical object not like commercials,2
61,He was tired and so he went to get into his car.,He was tired and so he went to get into his bed.,One should not drive when one is tired.,A car is not a place to sleep.,If you are tired you want to sleep and people sleep in beds,"Cars are small, cozy places.",One should not drive when one is tired.,Cars have soft seats inside them that one can lay on.,1
62,You never puke after getting drunk,You sometimes puke after getting drunk,Too much alcohol in our organism makes us puke,Alcohol when consumed in high amounts can cause nausea and for many people this inducing vomiting.,Drinking alcohol can make people puke.,We all puke without alcohol,Too much alcohol in our organism makes us puke,There are drinks with no alcohol,1
63,You can use a jellyfish to hold checks.,You can use a checkbook holder to hold checks.,A jellyfish is a sea creature not intended to hold anything.,Jellyfish live in the sea and the water would ruin the checks.,jellyfish are too jelly to hold things,A jellyfish is a sea creature not intended to hold anything.,Jellyfish are soft and checks are made of paper.,Jellyfish don't eat checks.,0
64,Lawyers are people who play characters in television or theatre,Actors are people who play characters in television or theatre,lawyers are people who provide legal aid,Real lawyers do not play characters on TV or theatre,Lawyers defend or prosecute people charge with crimes.,many lawyers do not have time to watch the television,lawyers are people who provide legal aid,some characters in television or theatre are lawyers,1
65,A giraffe drove a car,A man drove a car.,A giraffe is too big to fit into a car,Giraffes cannot drive or even fit inside a car.,A giraffe would not fit inside a car.,Giraffes are normally reckless drivers,A giraffe is too big to fit into a car,Giraffes prefer aeroplane instead of cars,1
66,A small dog is called a kitten,A small dog is called a puppy,a kitten is a small cat,kitten is a small of cat,A kitten is a small cat.,kittens are smaller than dogs,a kitten cannot eat dog food,a kitten is a small cat,2
67,The parrot went to work,The man went to work,Parrots do not have jobs,Parrots are animals and don't have jobs.,A parrot doesn't work,Parrots play jump rope while they play cards at work,Parrots can't take the subway to work,Parrots do not have jobs,2
68,My daughter always takes bath in a kitchen sink and avoids bath tub,My daughter always takes bath in a shower and avoids bath tub,Kitchen sink is not big enough to take bath in it,The kitchen sink is smaller and harder to get into than the bathtub.,My daughter is too big to fit in the sink,Tap in kitchen sink can be used to wash anything,Kitchen sink is not big enough to take bath in it,Most kitchens are fit with both hot and cold water taps,1
69,He killed him with a programming language,He killed him with a knife,Programming language is not a weapon,A person cannot kill someone with a programming language,Programming language lives in a virtual world and not in the physical world in a form that could kills someone,Programming language is not a weapon,Programming languages are dangerous,He does not like programming language,0
70,The cinema shared popcorn with them,They shared their popcorn at the cinema,You can't share food with an establishment,The cinema is not a person.,A cinema is not capable of sharing.,You can't share food with an establishment,popcorn is for feeding chickens,popcorn is only fictional,0
71,Rotten food smells nice.,Rotten food usually smells nasty.,Rotten food is decomposing and producing toxic smelly gasses.,rotten food smells terrible,Rotten food isn't fresh but gone off so it can't smell nice.,Rotten food does not wash itself and so it smells bad.,Rotten food can not use deodorant and so it smells nasty.,Rotten food is decomposing and producing toxic smelly gasses.,2
72,An actor wear a toaster.,An actor can wear a costume.,Toasters are not clothing,A toaster in an electrical product and not a outfit.,Toaster is a electrical device it could not be wear.,Toasters are not in fashion.,Toasters are not clothing,Toasters are too hot while costumes are not.,1
73,The man slept on the volcano.,The man slept in bed.,Beds are generally comfortable while volcanoes cause destruction.,Volcanos are very hot and would kill anyone who would fall asleep on one.,Volcanos are very hot and one would not be able to fall asleep if one stays alive at all.,Beds are generally comfortable while volcanoes cause destruction.,A volcano is much larger than a bed.,The bed cannot be on the volcano.,0
74,She spoke to a ghost at the door.,She spoke to a man at the door.,Ghosts don't exist.,ghost is not visible to spoke,GHOST IS NOT A MAN,Ghosts are white while the doors are yellow.,Ghosts don't exist.,Ghosts can't talk to the living.,1
75,You will never see a teacher inside of a school.,You will find teachers in a school.,A school requires teachers in order to run and teach the pupils so a teacher would always be in a school.,Teachers work in schools so you will always see them there,Teachers work at schools.,Teachers are legally required to always be inside of a school.,A school requires teachers in order to run and teach the pupils so a teacher would always be in a school.,Teachers live inside of schools and have their own homes that they stay in inside of the school,1
76,She cuts a pizza with an advertising board.,She cuts a pizza with a knife.,An advertising board is much larger than a pizza.,Advertising boards are not used for cutting.,advertising boards are too large to cut pizza with,Advertising signs are usually square while the pizzas are round.,An advertising board cannot eat a pizza.,An advertising board is much larger than a pizza.,2
77,They built the sun,They built a house.,The sun is a natural object created from space,No one built the Sun.,The sun was naturally created.,The sun is a natural object created from space,The sun is bigger than the house,The sun causes people to wear sunscreen at the beach,0
78,The man put some buildings in the microwave,The man put some muffins in the microwave,People do not heat buildings in the microwave,buddings don't fit in microwaves,Buildings don't fit inside a microwave.,Buildings and microwaves can be the same color.,Buildings and microwaves are both hard,People do not heat buildings in the microwave,2
79,There was a chicken flying.,There was a bird flying.,Chickens do not fly.,Chickens don't often fly.,Chickens do not fly,Chickens prefer to stay on the floor.,Chickens do not fly.,It is not common to see chickens flying.,1
80,He played the cow very well,He played the harp very well,Cows are not musical instruments,A cow is an animal and not a musical instrument,you don't play a cow,Cows are not vehicles,Cows are not musical instruments,Cows are not sentient,1
81,You are still alive if you do not have a heartbeat.,If your heartbeat stops then you are classed as dead.,Your heartbeat is what keeps you alive and breathing by transporting blood so without it you are dead.,"If a person does not have a heartbeat, they are not alive.",Heart must beat for a living thing to stay alive.,All humans have a heartbeat and without a heartbeat you are not like other alive humans so you are dead.,Your heartbeat is what keeps you alive and breathing by transporting blood so without it you are dead.,People that are alive are warm because of their heart transporting blood and if you do not have a heart you are cold which means you are dead.,1
82,the trampoline jumped on him,He jumped on the trampoline,a trampoline is not sentient and cannot jump,Trampolines are still objects that do not perform actions.,Trampoline can't jump,a trampoline is not sentient and cannot jump,trampolines can say how high to jump,the man is a trampoline,0
83,Georgia Tech trains dragons,Georgia Tech is a school.,Dragons are not a creature that exists,Dragons don't exist,Georgia tech trains people,Dragons are not a creature that exists,Dragons are too big for the buildings at Georgia Tech.,Dragons have more tails than people do.,0
84,She was going to school in a lunch box,She was going to school in a bus,Lunch box is a container to carry food,A person would not fit inside of a lunch box.,It is impossible to travel anywhere in a lunch box,Lunch box is a container to carry food,Lunch box is in blue color and she does not like blue color,The lunch box was full,0
85,The moon gets fixed and that's how it returns to full,The moon turns full about once a month,"The moon doesn't change sizes, the light that helps us see it changes and that affects what shape it looks to us",The moon is not broken and does not get fixed,the moon isn't broken when its not full,The moon is big enough to hide all sunlight from Earth because the sun and it's shapes,The sides of the moon are made of cheese and can be eaten,"The moon doesn't change sizes, the light that helps us see it changes and that affects what shape it looks to us",2
86,The man paid the bill with water.,The man paid the bill with cash.,Water usually does not hold up while money is tangible.,Water is not currency.,"No one pays a the bill with water, water is not a form of payment.",Water has no size of money.,Water usually does not hold up while money is tangible.,Money cannot wet the water.,1
87,You are cooking the music,You are cooking the dinner,Music is not cookable,"Music is not something that can be touched, so therefore can't be cooked","you don't cook music, you make music.",I like cooking elaborated recipes,Music should be maintained at a decent volume to not to disturb the neighbors,Music is not cookable,2
88,She write the story in water,She write the story in paper,Water has no capacity to show the story letters,Water will not stay still so you cannot write in it.,You cant write on water,Water has no color and writing is not possible,Water is washed the story when writing,Water has no capacity to show the story letters,2
89,The storage in every computer is unlimited.,A computer can run out of storage.,A computer has limited space in a hard-rive so the storage cannot be unlimited.,Computers have finite storage,The computer has limited storage,A computer gets tired when there are too many files so storage is not unlimited.,Computers are small and files are big so a computer can only fit a small amount of files.,A computer has limited space in a hard-rive so the storage cannot be unlimited.,2
90,People only cry when they are angry.,People cry when they are sad.,Crying is a natural response to being sad and many people cry when they are sad to express the feeling.,"People cry for many different reasons, not only when they are angry",People cry for many different reasons.,Crying is a natural response to being sad and many people cry when they are sad to express the feeling.,It is impossible to cry when you are angry.,No one has ever cried when they are angry.,0
91,Most people like to have hamburgers and pudding in the morning.,Most people like to have coffee and doughnuts in the morning.,"Hamburgers are a lunch or dinner food, and pudding is a dessert.",Most people find hamburgers to be a heavy meal and it is recommended to eat something light for breakfast.,"Hamburgers and pudding are lunch or dinner options, not breakfast.",Hamburgers frequently have lettuce on them and pudding is often chocolate flavored.,Hamburgers and pudding both contain carbohydrates.,"Hamburgers are a lunch or dinner food, and pudding is a dessert.",2
92,Frank hit Will with a pillow causing him pain,Frank hit Will with a stone causing him pain,A pillow is softer than a stone and does not cause injuries,pillows are soft and do not cause pain if thrown at someone,Pillows are light and soft and cannot cause pain.,A pillow is bigger than a stone,A pillow is softer than a stone and does not cause injuries,A pillow and a stone can be white,1
93,he put the sock on the drum.,He put a sock on his foot.,A drum is much larger than a sock.,socks don't fit on drums,A drum doesn't wear clothes.,Drums not made of wood while socks are made of cloth.,A drum has no foot.,A drum is much larger than a sock.,2
94,he shaved his teeth,he shaved his beard,there is no hair on teeth,Teeth don't have hair.,A person does not shave their teeth.,it's illegal to shave teeth,there is no hair on teeth,teeth are not accessible enough to be shaved,1
95,She put mustard on a star.,She put mustard on a corndog.,A star is too far away for someone to but a condiment on.,A star is not food.,The stars are too far a way to put anything on except for a spaceship.,People pay money to name different stars.,Clouds make it hard to see stars in the sky.,A star is too far away for someone to but a condiment on.,2
96,they put on ghillie suits to go outside,they put on shoes to walk outside,shoes are needed to walk outside,A ghillie suit is for niche purpose.,Ghillie suits aren't worn outside.,shoes are needed to walk outside,ghillie suits are only useful in jungle environments,shoes are more effective camouflage than ghillie suits,0
97,He was playing fridge,He was playing music,Fridge is a tool and is not a musical instrument,A fridge is not an instrument.,You can't play a fridge.,Fridge is a tool and is not a musical instrument,He does not know fridge,Fridge is in gray color,0
98,A person is not allowed to visit their relatives.,A person can visit relatives.,"It is a human right to visit a relative and there are no laws against it, so you can visit a relative.",Relatives are able to visit each other.,People frequently visit family.,"It is a human right to visit a relative and there are no laws against it, so you can visit a relative.",It is legally required of you to visit your relatives.,You are looked down upon if you do not visit relative and shamed upon.,0
99,Tight shoes are comfortable.,Tight shoes cause discomfort.,Tight shoes make walking unbearable.,tight shoes hurt feet,"If shoes are tight, they are not comfortable",Tight shoes make walking unbearable.,Some people like shoes to be extremely tight.,Tight shoes can be worn for many hours.,0
100,Low blood pressure is a hazardous way to diet and lose weight.,"A diet is a great way to lower blood pressure, and lose weight.","Lowering high blood pressure, and weight loss is the result of eating healthy and exercising.",Losing weight lowers blood pressure,Having low blood pressure isn't a way to diet,"Lowering high blood pressure, and weight loss is the result of eating healthy and exercising.",Eating Healthy is dangerous it can lower your blood pressure and make you have an eating disorder.,Eating disorders and dangerously low blood pressure are a result of eating healthy and losing weight.,0
101,Plants can make computers,Plants can make carbohydrates,Computers are not organic products and are made by humans,Plants are unable to make computers.,Plants only make oxygen and fruits or vegetables not things made out of plastic like computers,"Plants are all over the world, while computers are only in developed countries",Computers are not organic products and are made by humans,"Animals eat plants, but not computers",1
102,My friend like to eat electronic goods.,My friend like to eat non-veg food,No one can digest electronic goods.,Electronic products must not be eaten,you would die if you ate electronics,No one can digest electronic goods.,Electronic goods are very small now a days to eat.,Electronic goods may cause shock while eating.,0
103,Europe is in france,france is in Europe,Europe is a continent but france is a country,Europe is a larger area than France.,Europe is a continent and is too large to be in a small country like France.,Europe is a continent but france is a country,france is not european,europe is not a french country,0
104,He drove his car to the moon,He drove his car to London,There is no road leading to the moon,The moon is in outer space.,It is impossible to get to the moon by car,His car did not have moon tires on,The moon was closed for repairs that day,There is no road leading to the moon,2
105,The babies birthday is the day their parents met.,"When a baby is born, that day is called its' birthday.",A birthday refers to the day you were conceived as a way to refer to your age so it cannot be the day your parents met.,the day of their birth is their birth day,A baby is not born on the day the parent's met.,Birthdays are happy days and the day of birth is happier than the day of parents meeting.,Birthdays must refer to the days and most parents meet at night time,A birthday refers to the day you were conceived as a way to refer to your age so it cannot be the day your parents met.,2
106,A sheep shops at Walmart,A lady shops at Walmart,Walmart is a store for persons not animals,Sheep do not shop anywhere.,Sheep do not shop,Sheep would see how the wool is used in the stores,Sheep only eat grass but Walmart sells meat,Walmart is a store for persons not animals,2
107,You can not get drunk from alcohol.,Drinking alcohol gets you drunk.,"Alcohol is the only thing you can get drunk from and by drinking it, your brain becomes drunk.","Alcohol, by it's chemical nature,  has an intoxicating effect.",Drinking alcohol will eventually get a person drunk.,"Alcohol is the only thing you can get drunk from and by drinking it, your brain becomes drunk.",It is impossible to stay sober if you drink even one drop of alcohol.,Alcohol is poisonous and by drinking it you imminently become intoxicated.,0
108,The fire hydrant shot a bullet,The gun shot a bullet,Fire hydrants do not have firing mechanisms,fire hydrants are inanimate therefore cannot do anything,A fire hydrant doesn't have ammunition.,Fire hydrants do not have firing mechanisms,Guns are older than fire hydrants,Fire hydrants do not have an amendment protecting them,0
109,A forest is an area covered with snow,A forest is an area covered with trees,"the multitude of trees makes up a forest, and the presence or absence of snow is irrelevant",Forests are not always covered with snow.,"forests are normally covered with trees, that is what makes it a forest","the multitude of trees makes up a forest, and the presence or absence of snow is irrelevant","snow is white, and the forest is green","snow melts, but the forest does not",0
110,The building built him,He built a building,The building is not alive,A building is not alive or mobile.,building can't do anything.,the building is too big,the building is human made,The building is not alive,2
111,The grass is singing.,The grass is growing.,Grass does not have voice or mouth to make noise.,grass doesn't sing,Grass is not alive and has no mouth.,Lots of animals eat grass.,Water helps grass grow.,Grass does not have voice or mouth to make noise.,2
112,She cut the meat with a fridge.,She cut the meat with a knife.,A refrigerator is much larger than a meat.,A fridge can't be held in your hand.,A fridge is not sharp and is unable to cut food.,Refrigerators are iron while meats are red.,A refrigerator is much larger than a meat.,A refrigerator cannot use knives.,1
113,I ran to the sky.,I ran to the barn.,"You can't run the sky,because you will go the sky use the space rocket.",I have to stay in contact with the ground when I run,It is impossible for humans to reach the sky without the help of aircraft; gravity makes this impossible.,"Can't road on the sky,it's use the air balloon or any one.","Human can't feathers,only on legs to use ran.","You can't run the sky,because you will go the sky use the space rocket.",2
